SCHOOLID,STUDENT_NUMBER,LASTFIRST,GRADE_LEVEL,GENDER,COACH,ELASTATUS,ELASTATUSDATE,LTELSTATUS,plListen,plSpeak,plRead,plWrite,plOverall,celdtCriterion,SPEDCaseManager,SPEDNeeds,lowGrades,highGrades,missingAssignments,suspensionDetail,suspensionsCurrent,suspensionsLast,studentGoal,goalTimestamp,SBACM_Earliest,SBACM_Latest,SBACE_Earliest,SBACE_Latest,mTestPercentile,rTestPercentile,mFallToFall,rFallToFall,attendance,Merits,Demerits,Reflections,behaviorSummary,ANET1MathPercent,GradeLevelAverageMathANET1,ANETMathSummary,ANET1ELAPercent,GradeLevelAverageELAANET1,ANETELASummary,ANET2MathPercent,GradeLevelAverageMathANET2,ANET2MathSummary,ANET2ELAPercent,GradeLevelAverageELAANET2,ANET2ELASummary,numCel,improvements,celebrations,StaffCelebrations,ANETMATH,ANETELA,SPED,SBACELAProjection,SBACMathProjection
Demo School 2,100001,Caitlyn Greenland  ,6,F,Tierra  ,IFEP,15-Aug-16,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,0,2,0,,0,0,"<br><br><strong class='bg-warning'>Goal set on Feb-7: One important wish that i have is get better at writing expressions what we learned 2-7-18 i want to learn how to do it without doubting myself..</strong><i>The best result would be doing it without getting help. I will feel so proud because learning new things is my favorite thing to do and my family will be proud and my brain will grow.. The main obstacle inside me will be me feeling like everyone gets it and i will get it wrong and be humiliated.. If i feel like i will be humiliated and get everything wrong, then i will think about myself and say who cares what others think and the happiness that is waiting at the end.. My goal represents Pride because i will have to be proud of my work and not care what others think.</i>",43138.60214,,4,,4,12,12,Low Achievement,Less than a year,Less than 90 but improving,351,-64,2,rpg,0.421052632,0.36344239,At or above average,0.533333333,0.390476191,At or above average,0.259259259,0.394137453,Below average,0.272727273,0.415433404,Below average,8,"<li>Benchmark Math 2 score was below network average; you scored 26% while your classsmates scored 39%</li><li>Benchmark ELA 2 score was below network average; you scored 27% while your classsmates scored 42%</li><li><b>Semester two: 1 courses with a grade below 80:</b><br><p style='margin-left: 40px'>F/46 - English Language Arts 8 - as of  Feb 9 ; 7 absence(s) ; 2 assignment(s) were missing <i></i></p></li><li>Turn in <b>6 missing assignment(s): </b>3 classwork </li><li><b>Did not pass the CELDT test</b> in 2016. To pass on your next attempt, you must get a 3 or above in all areas and at least a 4 overall. Latest levels are: Listening 2; Speaking 4; Reading 2; Writing 3; Overall 3</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 2</b>, Reading - Near Standard, Writing - Near Standard, Listening - Near Standard, Research/Inquiry - Near Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 4.7. To get closer to grade level, increase your current RIT score of 208 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 4.2. To get closer to grade level, increase your current RIT score of 201 by 2 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Benchmark Math 1 score was at or above network average</b>; you scored 42% while your classsmates scored 36%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 53% while your classsmates scored 39%</li><li><b>Attendance improved from last year 77% to 82% </b>this year - 88/107 days<div id='calendar_basic' ></div></li><li><b>Semester two: 2 courses with As/Bs:</b><br><p style='margin-left: 40px'>A+/100 8th grade Algebra- <i></i></p><p style='margin-left: 40px'>B-/82 8th grade Science-<i></i></p></li><li>Overall <b>CELDT level went up </b>from level 2 in 2016 to level 3 in 2016</li><li>SBAC <b>Math achievement level increased </b>from 1 in 2015 to NS in 2016</li><li>SBAC <b>ELA achievement level increased </b>from 1 in 2015 to 2 in 2017.</li>,,Net average is negative,Net average is at par or positive,NO,1,1
Demo School 2,100002,Janina Lancon  ,6,F,Tierra  ,RFEP,15-Aug-16,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,0,2,0,,0,0,"<br><br><strong class='bg-warning'>Goal set on Jan-8: I want to accomplish listening and sharing some more because I am sometimes not sharing or I am not prepared..</strong><i>I will feel proud knowing I share and I listen to my teachers.. People that always say ""no"" like if you ask to use something they say no that won't help you.. If I don't accomplish them I will read this more than 2 times to remind myself.. It represents Respect because I will share more and listen attentively.</i>",43108.62271,,2,,4,33,32,at least 1 year,Less than a year,90 to 95%,1875,-210,7,rpg,0.368421053,0.36344239,At or above average,0.666666667,0.390476191,At or above average,0.333333333,0.394137453,Below average,0.590909091,0.415433404,At or above average,11,"<li>Benchmark Math 2 score was below network average; you scored 33% while your classsmates scored 39%</li><li><b>Semester two: 1 courses with a grade below 80:</b><br><p style='margin-left: 40px'>D-/60 - 8th grade Humanities - as of  Jan 10 ; 3 absence(s) <i></i></p></li><li>Turn in <b>3 missing assignment(s): </b>3 homework</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 2</b>, Concepts and Procedures - Below Standard, Problem Solving - Below Standard, Communicating Reasoning - Near Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 2</b>, Reading - Near Standard, Writing - Near Standard, Listening - Near Standard, Research/Inquiry - Below Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 6.8. To get closer to grade level, increase your current RIT score of 221 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 6.3. To get closer to grade level, increase your current RIT score of 212 by 1 points for one year of growth or by 2 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Benchmark Math 1 score was at or above network average</b>; you scored 37% while your classsmates scored 36%</li><li><b>Benchmark ELA 2 score was at or above the network average</b>; you scored 59% while your classsmates scored 42%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 67% while your classsmates scored 39%</li><li><b>Attendance 90%</b> - 96/107 days. Rate last year: 92%</li><li><b>Semester two: 1 courses with As/Bs:</b><br><p style='margin-left: 40px'>B/86 Physical Education-<i></i></p></li><li><b>Passed the CELDT test</b> that you took in 2016. Well done!</li><li>SBAC <b>Math achievement level increased </b>from 1 in 2015 to 2 in 2017</li><li>SBAC <b>ELA achievement level increased </b>from 1 in 2015 to 2 in 2017.</li><li><b>On track to grow at least 1 year in Mathematics </b> this year! Current RIT score is 221 approximate grade level is 6.8</li><li><b>Reclassified as Fluent English Proficient</b> on 08-15-2016!</li>,,Net average is negative,Net average is at par or positive,NO,2,1
Demo School 2,100003,Lindsay Juergens  ,6,M,Tierra  ,EL,15-Aug-16,ATRISK LTEL,4,4,1,1,3,,Cindy,Specific Learning Disability (SLD),1,0,5,,0,0,<br><br><strong class='bg-warning'>Goal set on Feb-7: TO get batter at reading faster in ela.</strong><i>I will fell on top of the world. PEOPLE the are keep tacking in class. I will get 1 detashion. I will shows some ganas because i wgn ill try my best</i>,43138.60327,,1,,1,39,55,Less than a year,High Achievement; at least 50th percentile,96% or higher,244,-108,6,rpg,0.473684211,0.36344239,At or above average,0.466666667,0.390476191,At or above average,0.555555556,0.394137453,At or above average,0.363636364,0.415433404,Below average,9,"<li>Benchmark ELA 2 score was below network average; you scored 36% while your classsmates scored 42%</li><li><b>Semester two: 2 courses with a grade below 80:</b><br><p style='margin-left: 40px'>F+/68 - 8th grade Algebra - as of  Feb 6 ; 1 absence(s) ; 1 assignment(s) were missing <i></i></p><p style='margin-left: 40px'>F/47 - English Language Arts 8 - as of  Feb 2 ; 1 absence(s) ; 3 assignment(s) were missing <i></i></p></li><li>Turn in <b>5 missing assignment(s): </b>3 classwork </li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 2</b>, Reading - Near Standard, Writing - Near Standard, Listening - Below Standard, Research/Inquiry - Near Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 7.5. To get closer to grade level, increase your current RIT score of 224 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li>","<li><b>Benchmark Math 2 score was at or above network average</b>; you scored 56.% while your classsmates scored 39%</li><li><b>Benchmark Math 1 score was at or above network average</b>; you scored 47% while your classsmates scored 36%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 47% while your classsmates scored 39%</li><li><b>Attendance 99%</b> - 106/107 days. Rate last year: 99%</li><li><b>Semester two: 1 courses with As/Bs:</b><br><p style='margin-left: 40px'>A-/90 8th grade Science-<i></i></p></li><li>College and Career Ready: SBAC <b>Math level 3 </b>on the 2017 test</li><li>SBAC <b>Math achievement level increased </b>from 2 in 2015 to 3 in 2017</li><li>As of Jan 2018, you are <b>at grade level 9 in ELA</b>. To stay at grade level, increase your current RIT score of 221 by 1 points.</li>",,Net average is at par or positive,Net average is at par or positive,YES,2,1
Demo School 2,100004,Belva Jerry  ,6,M,Tierra  ,EL,7-Mar-17,,2,1,1,1,1,,None,None,2,0,5,,0,0,,,,1,,,3,1,Less than a year,Low Achievement,96% or higher,1805,-5,0,rpg,0.105263158,0.36344239,Below average,0.133333333,0.390476191,Below average,0.074074074,0.394137453,Below average,0.227272727,0.415433404,Below average,3,"<li>Benchmark Math 2 score was below network average; you scored 7% while your classsmates scored 39%</li><li>Benchmark Math 1 score was below network average; you scored 11% while your classsmates scored 36%</li><li>Benchmark ELA 2 score was below network average; you scored 23% while your classsmates scored 42%</li><li>Benchmark ELA 1 score was below network average; you scored 13% while your classsmates scored 39%</li><li><b>Semester two: 2 courses with a grade below 80:</b><br><p style='margin-left: 40px'>C/76 - 8th grade Humanities - as of  Jan 10 ; 2 absence(s) <i></i></p><p style='margin-left: 40px'>F/50 - 8th grade Algebra - as of  Feb 5 ; 2 absence(s) <i></i></p></li><li>Turn in <b>5 missing assignment(s): </b>5 homework</li><li><b>Did not pass the CELDT test</b> in 2016. To pass on your next attempt, you must get a 3 or above in all areas and at least a 4 overall. Latest levels are: Listening 2; Speaking 4; Reading 2; Writing 3; Overall 3</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 1</b>, Concepts and Procedures - Below Standard, Problem Solving - Below Standard, Communicating Reasoning - Below Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 1</b>, Reading - Below Standard, Writing - Below Standard, Listening - Below Standard, Research/Inquiry - Below Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 3.4. To get closer to grade level, increase your current RIT score of 195 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 2.6. To get closer to grade level, increase your current RIT score of 185 by 2 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Attendance 96%</b> - 103/107 days. Rate last year: 98%</li><li><b>Semester two: 1 courses with As/Bs:</b><br><p style='margin-left: 40px'>A/95 Physical Education-<i></i></p></li>,,Net average is negative,Net average is negative,NO,1,1
Demo School 2,100005,Leonard Walson  ,6,M,Tierra  ,EL,15-Aug-16,EL,5,5,3,3,5,1,None,None,0,2,0,,0,0,<br><br><strong class='bg-warning'>Goal set on Jan-8: i want to recycle and be nice to others.</strong><i>i will feel great and keep on doing it. i disrpect others alot. i will ignore bad beavior. this is citizen ship</i>,43108.62044,,3,,2,9,12,1.5 or more years,Low Achievement,96% or higher,415,-84,1,rpg,0.421052632,0.36344239,At or above average,0.2,0.390476191,Below average,0.296296296,0.394137453,Below average,0.181818182,0.415433404,Below average,6,"<li>Benchmark Math 2 score was below network average; you scored 30% while your classsmates scored 39%</li><li>Benchmark ELA 2 score was below network average; you scored 18% while your classsmates scored 42%</li><li>Benchmark ELA 1 score was below network average; you scored 20% while your classsmates scored 39%</li><li><b>Semester two: 1 courses with a grade below 80:</b><br><p style='margin-left: 40px'>F/34 - English Language Arts 8 - as of  Feb 12  ; 6 assignment(s) were missing <i></i></p></li><li>Turn in <b>11 missing assignment(s): </b>9 classwork </li><li><b>Did not pass the CELDT test</b> in 2016. To pass on your next attempt, you must get a 3 or above in all areas and at least a 4 overall. Latest levels are: Listening 3; Speaking 4; Reading 2; Writing 1; Overall 3</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 1</b>, Concepts and Procedures - Below Standard, Problem Solving - Below Standard, Communicating Reasoning - Near Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 1</b>, Reading - Below Standard, Writing - Below Standard, Listening - Below Standard, Research/Inquiry - Below Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 4.4. To get closer to grade level, increase your current RIT score of 205 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 4.2. To get closer to grade level, increase your current RIT score of 201 by 2 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Benchmark Math 1 score was at or above network average</b>; you scored 42% while your classsmates scored 36%</li><li><b>Attendance 99%</b> - 106/107 days. Rate last year: 98%</li><li><b>Semester two: 2 courses with As/Bs:</b><br><p style='margin-left: 40px'>A+/100 8th grade Algebra- <i></i></p><p style='margin-left: 40px'>B/86 8th grade Science-<i></i></p></li><li>Overall <b>CELDT level went up </b>from level 2 in 2015 to level 3 in 2016</li><li><b>On track to grow 1.5 or more years in Mathematics </b> this year! Current RIT score is 205 approximate grade level is 4.4</li>,,Net average is negative,Net average is negative,NO,1,1
Demo School 2,100006,George Stuhr  ,6,M,Tierra  ,EO,15-Aug-16,,No Data,No Data,No Data,No Data,No Data,Did not take CELDT,None,None,0,1,2,"05-JAN-threw a few items  (erasers, trash) at a substitute Teacher. The items hit the Teacher near her face",1,1,"<br><br><strong class='bg-warning'>Goal set on Jan-8: Something I want to accomplish is fixing my attitude and not getting in trouble..</strong><i>A good thing that will happen is that I wont get grounded.. One obstacle is that I get mad easy.. If I get mad, I will take a break.. My goal is showing respect because I am trying to show more respect.</i>",43108.61984,,4,,3,35,15,1.5 or more years,Less than a year,96% or higher,253,-40,1,rpg,0.578947368,0.36344239,At or above average,,,,,0.394137453,,,0.415433404,,6,"<li><b>Semester two: 1 courses with a grade below 80:</b><br><p style='margin-left: 40px'>F/45 - English Language Arts 8 - as of  Feb 9  ; 5 assignment(s) were missing <i></i></p></li><li>Turn in <b>6 missing assignment(s): </b>4 classwork </li><li><b>Did not pass the CELDT test</b> in 2016. To pass on your next attempt, you must get a 3 or above in all areas and at least a 4 overall. Latest levels are: Listening 4; Speaking 4; Reading 2; Writing 2; Overall 3</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 2</b>, Concepts and Procedures - Near Standard, Problem Solving - Near Standard, Communicating Reasoning - Below Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 1</b>, Reading - Below Standard, Writing - Below Standard, Listening - Below Standard, Research/Inquiry - Below Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 7. To get closer to grade level, increase your current RIT score of 222 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 4.5. To get closer to grade level, increase your current RIT score of 203 by 2 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li>05-JAN-threw a few items  (erasers, trash) at a substitute Teacher. The items hit the Teacher near her face. Days in suspensions this year: 1 </li>",<li><b>Benchmark Math 1 score was at or above network average</b>; you scored 58.% while your classsmates scored 36%</li><li><b>Attendance 97%</b> - 104/107 days. Rate last year: 100%</li><li><b>Semester two: 2 courses with As/Bs:</b><br><p style='margin-left: 40px'>A+/100 8th grade Algebra- <i></i></p><p style='margin-left: 40px'>A+/98 8th grade Science-<i></i></p></li><li>SBAC <b>Math achievement level increased </b>from 1 in 2015 to 2 in 2017</li><li><b>On track to grow 1.5 or more years in Mathematics </b> this year! Current RIT score is 222 approximate grade level is 7</li>,,Net average is at par or positive,,NO,1,1
Demo School 2,100007,Maribel Garett  ,6,F,Tierra  ,EL,15-Aug-16,ATRISK LTEL,4,5,3,4,4,1,None,None,0,1,1,,0,0,<br><br><strong class='bg-warning'>Goal set on Feb-7: My wish is to accomplish math work like Expressions..</strong><i>What will be the best result for accomplishing my wish is if I in the mornings I go to the teacher and get some help how I feel about that is good because that will start giving be a head start.. What will prevent me from accomplishing my work is if I don't go to math class.. If I don't understand it still then I will stay a little bit more time in lunch.. My RPG goal is ganas because I'm trying to understand how to do Expressions.</i>,43138.60871,,1,,1,7,11,Less than a year,Less than a year,Less than 90 not improving,1750,-635,19,"improvement/0/Jan-11/3/['Month','Detentions'],['Aug',0],['Sept',3],['Oct',6],['Nov',5],['Dec',5],['Jan',0],['Feb',0]",0.210526316,0.36344239,Below average,0.6,0.390476191,At or above average,0.37037037,0.394137453,Below average,0.545454546,0.415433404,At or above average,5,"<li>Benchmark Math 2 score was below network average; you scored 37% while your classsmates scored 39%</li><li>Benchmark Math 1 score was below network average; you scored 21% while your classsmates scored 36%</li><li><b>Attendance rate is not improving</b>. Last year 86% and 81% this year - 87/107 days. Details  - <b>Out of school suspension absences: 1</b><div id='calendar_basic' ></div></li><li><b>Semester two: 2 courses with a grade below 80:</b><br><p style='margin-left: 40px'>C/75 - 8th grade Algebra - as of  Feb 5 ; 10 absence(s) <i></i></p><p style='margin-left: 40px'>D+/67 - 8th grade Humanities - as of  Jan 10 ; 10 absence(s) <i></i></p></li><li>Turn in <b>5 missing assignment(s): </b>5 homework</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 1</b>, Concepts and Procedures - Below Standard, Problem Solving - Below Standard, Communicating Reasoning - Below Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 2</b>, Reading - Near Standard, Writing - Near Standard, Listening - Near Standard, Research/Inquiry - Near Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 4. To get closer to grade level, increase your current RIT score of 202 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 4.1. To get closer to grade level, increase your current RIT score of 200 by 2 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Benchmark ELA 2 score was at or above the network average</b>; you scored 55.% while your classsmates scored 42%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 60% while your classsmates scored 39%</li><li><b>Semester two: 1 courses with As/Bs:</b><br><p style='margin-left: 40px'>A/95 Physical Education-<i></i></p></li><li><b>Passed the CELDT test</b> that you took in 2016. Well done!</li>,,Net average is negative,Net average is at par or positive,NO,1,1
Demo School 2,100008,Roma Conine  ,6,F,Tierra  ,EL,15-Aug-16,,1,3,1,2,1,,None,None,0,2,1,,0,0,"<br><br><strong class='bg-warning'>Goal set on Feb-7: My goal is try to turn in all my Classwork,Do now´s, and Homework..</strong><i>The result will be me getting an A in my classes.. The main obstacle would be me not turning my work.. If i dont accomplish my goal then i will try next time.. My RPG value id Ganas and Respect because ive been trying hard all this time to make my family proud.</i>",43138.59287,,2,,2,20,24,Less than a year,Low Achievement,Less than 90 not improving,77,-36,4,rpg,,,,,,,0.148148148,0.394137453,Below average,,0.415433404,,4,"<li>Benchmark Math 2 score was below network average; you scored 15% while your classsmates scored 39%</li><li><b>Attendance rate is not improving</b>. Last year 94% and 87% this year - 35/40 days<div id='calendar_basic' ></div></li><li><b>Semester two: 1 courses with a grade below 80:</b><br><p style='margin-left: 40px'>F+/69 - English Language Arts 8 - as of  Feb 7 ; 1 absence(s) ; 6 assignment(s) were missing <i></i></p></li><li>Turn in <b>7 missing assignment(s): </b>5 classwork </li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 2</b>, Concepts and Procedures - Below Standard, Problem Solving - Near Standard, Communicating Reasoning - Near Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 1</b>, Reading - Below Standard, Writing - Near Standard, Listening - Below Standard, Research/Inquiry - Near Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 5.5. To get closer to grade level, increase your current RIT score of 214 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in ELA</b>; your approximate grade level is 5.4. To get closer to grade level, increase your current RIT score of 208 by 1 points for one year of growth or by 2 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Semester two: 2 courses with As/Bs:</b><br><p style='margin-left: 40px'>A+/100 8th grade Algebra- <i></i></p><p style='margin-left: 40px'>A-/90 8th grade Science-<i></i></p></li><li><b>Passed the CELDT test</b> that you took in 2016. Well done!</li><li>SBAC <b>Math achievement level increased </b>from 1 in 2015 to 2 in 2017</li>,,Net average is negative,,NO,1,1
Demo School 2,100009,Margrett Eckenrode  ,6,F,Tierra  ,EL,15-Aug-16,EL,5,5,4,3,4,1,Cindy,Specific Learning Disability (SLD),1,1,2,,0,0,,,,1,,2,82,65,High Achievement; at least 75th percentile,High Achievement; at least 50th percentile,96% or higher,269,-28,1,rpg,0.578947368,0.36344239,At or above average,0.533333333,0.390476191,At or above average,0.740740741,0.394137453,At or above average,0.318181818,0.415433404,Below average,9,"<li>Benchmark ELA 2 score was below network average; you scored 32% while your classsmates scored 42%</li><li><b>Semester two: 1 courses with a grade below 80:</b><br><p style='margin-left: 40px'>F/52 - English Language Arts 8 - as of  Feb 2  ; 3 assignment(s) were missing <i></i></p></li><li>Turn in <b>3 missing assignment(s): </b>2 classwork </li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 2</b>, Reading - Near Standard, Writing - Near Standard, Listening - Near Standard, Research/Inquiry - Near Standard</li>","<li><b>Benchmark Math 2 score was at or above network average</b>; you scored 74% while your classsmates scored 39%</li><li><b>Benchmark Math 1 score was at or above network average</b>; you scored 58.% while your classsmates scored 36%</li><li><b>Benchmark ELA 1 score was at or above the network average</b>; you scored 53% while your classsmates scored 39%</li><li><b>Attendance 99%</b> - 106/107 days. Rate last year: 99%</li><li><b>Semester two: 2 courses with As/Bs:</b><br><p style='margin-left: 40px'>A/95 8th grade Science-<i></i></p><p style='margin-left: 40px'>B-/81 8th grade Algebra- <i></i></p></li><li>College and Career Ready: SBAC <b>Math level 4 </b>on the 2017 test</li><li>SBAC <b>Math achievement level increased </b>from 2 in 2015 to 4 in 2017</li><li>As of Jan 2018, you are <b>at grade level 9 in ELA</b>. To stay at grade level, increase your current RIT score of 225 by 1 points.</li>",,High Score - 70%,Net average is at par or positive,YES,3,3
Demo School 2,100010,Hai Burgos  ,6,F,Tierra  ,EL,30-Aug-16,,1,1,2,1,1,,None,None,0,1,2,,0,0,<br><br><strong class='bg-warning'>Goal set on Feb-7: i wish i can learn do exit tickets expressions..</strong><i>i can feel proud if i get 80% or more. i feel proud because i learn something new.. the main obstacle inside me will be the difficulty of understanding english.. If i find a difficult to understand English then i will try more and study the words.. My goal represents ganas because i will have to try hard learn English.</i>,43138.60234,,1,,,37,,1.5 or more years,,96% or higher,255,-52,2,rpg,0.263157895,0.36344239,Below average,,,,,0.394137453,,,0.415433404,,5,"<li>Benchmark Math 1 score was below network average; you scored 26% while your classsmates scored 36%</li><li><b>Semester two: 2 courses with a grade below 80:</b><br><p style='margin-left: 40px'>F/45 - 8th grade Algebra - as of  Feb 9 ; 2 absence(s) ; 4 assignment(s) were missing <i></i></p><p style='margin-left: 40px'>F/36 - English Language Arts 8 - as of  Feb 12 ; 2 absence(s) ; 6 assignment(s) were missing <i></i></p></li><li>Turn in <b>12 missing assignment(s): </b>7 classwork </li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC Math: Overall Level 1</b>, Concepts and Procedures - Below Standard, Problem Solving - Below Standard, Communicating Reasoning - Near Standard</li><li>Did not score college/career ready (Level 3 or 4) on <b>SBAC ELA: Overall Level 1</b>, Reading - Below Standard, Writing - Near Standard, Listening - Below Standard, Research/Inquiry - Near Standard</li><li><b>Not at grade level</b> (as of Jan 2018) <b>in Mathematics</b>; your approximate grade level is 7.3. To get closer to grade level, increase your current RIT score of 223 by 2
 points for one year of growth or by 3 points for 1.5 years of growth by Spring 1718.</li>",<li><b>Attendance 96%</b> - 103/107 days. Rate last year: 97%</li><li><b>Semester two: 1 courses with As/Bs:</b><br><p style='margin-left: 40px'>A/95 8th grade Science-<i></i></p></li><li><b>Passed the CELDT test</b> that you took in 2016. Well done!</li><li><b>On track to grow 1.5 or more years in Mathematics </b> this year! Current RIT score is 223 approximate grade level is 7.3</li>,,Net average is negative,,NO,,1
